1	2406887	2785671	HD1
1	7738180	8206130	HD2
1	17597181	17679598	HD3
1	20148249	20253899	HD4
1	22676292	22738432	HD5
1	25239289	25308276	HD6
1	67594559	67941167	HD7
1	92396377	93515049	HD8
1	101209653	101664811	HD9
1	113863087	114527968	HD10
1	117030982	117142239	HD11
1	117231902	117299420	HD12
1	152534954	152784216	HD13
1	155019710	156045183	HD14
1	160697074	160933065	HD15
1	161282384	161679644	HD16
1	172650685	172940450	HD17
1	173097989	173300840	HD18
1	183254488	183570545	HD19
1	192462312	192548041	HD20
1	197311228	197938330	HD21
1	200853111	201042326	HD22
1	206802440	207032751	HD23
1	242881598	243049130	HD24
2	25450311	25607758	HD25
2	33666456	33706655	HD26
2	43310482	43362380	HD27
2	43448658	43936230	HD28
2	60914729	61892409	HD29
2	62483421	62648023	HD30
2	65397595	65717094	HD31
2	68536253	68682256	HD32
2	100544954	101038647	HD33
2	102294890	102710496	HD34
2	102855298	103207036	HD35
2	162960873	163361685	HD36
2	181794257	182263951	HD37
2	191873553	192007734	HD38
2	199497285	199658565	HD39
2	204446380	204816382	HD40
2	207273133	207578440	HD41
2	231076289	231235886	HD42
2	234141184	234502121	HD43
2	241558936	241655544	HD44
3	18607792	18834965	HD45
3	27720363	27840787	HD46
3	28040772	28130472	HD47
3	32920602	33088373	HD48
3	45929800	46650993	HD49
3	48411895	51383144	HD50
3	58154177	58549297	HD51
3	119104981	119300655	HD52
3	159586299	159754507	HD53
3	188069360	188139629	HD54
4	26028805	26134465	HD55
4	102701345	103093486	HD56
4	122973062	123565302	HD57
5	489199	730271	HD58
5	35799296	36034866	HD59
5	40286967	40818088	HD60
5	55414956	55447909	HD61
5	72456996	72580411	HD62
5	95982675	96407573	HD63
5	102098582	102711659	HD64
5	131436961	132142232	HD65
5	141414460	141641922	HD66
5	150038265	150387736	HD67
5	150400087	150492562	HD68
5	158515199	158836107	HD69
5	159808724	159969382	HD70
5	173232750	173540199	HD71
6	370547	457748	HD72
6	20524382	20829772	HD73
6	29938511	30597337	HD74
6	34507311	35327577	HD75
6	90806835	91039808	HD76
6	106394642	106627910	HD77
6	111393777	111968788	HD78
6	126442383	127412057	HD79
6	127952182	128340790	HD80
6	137882875	138275085	HD81
6	159322326	159541830	HD82
6	167344898	167547954	HD83
7	26657962	27205282	HD84
7	28122977	28274522	HD85
7	37363978	37440453	HD86
7	50246236	50365063	HD87
7	50366637	50694384	HD88
7	50900900	51133350	HD89
7	74016979	75201237	HD90
7	107475208	107604818	HD91
7	128549568	128777520	HD92
7	153361875	153504627	HD93
8	10615459	10845587	HD94
8	11285186	11414013	HD95
8	56730652	57160043	HD96
8	79186223	79749907	HD97
8	126530818	126550818	HD98
8	129142534	129299237	HD99
8	129492318	129599278	HD100
9	4233390	4321558	HD101
9	4944089	5274464	HD102
9	34649442	34974974	HD103
9	117474310	117699745	HD104
9	123351121	124131512	HD105
9	139134981	139418260	HD106
10	6030243	6169685	HD107
10	6388071	6545104	HD108
10	30686933	30807686	HD109
10	35183167	35877486	HD110
10	49971369	50142929	HD111
10	59823894	60140709	HD112
10	64341025	64566258	HD113
10	81020402	81104408	HD114
10	90008047	90220370	HD115
10	101268527	101329967	HD116
11	413012	720197	HD117
11	2178940	2282254	HD118
11	35034307	35155001	HD119
11	60723898	60836519	HD120
11	76084235	76339647	HD121
11	114259653	114571578	HD122
11	118341921	118765600	HD123
11	122469697	122592152	HD124
11	128249430	128480513	HD125
12	6415994	6463862	HD126
12	6485035	6523249	HD127
12	9638661	9972763	HD128
12	40351601	40830814	HD129
12	56351937	56833224	HD130
12	57626582	58488667	HD131
12	68429119	68510072	HD132
12	111699146	113030487	HD133
12	123387922	123927513	HD134
12	129257007	129343928	HD135
13	27495853	27558881	HD136
13	42834735	43101763	HD137
13	44236266	44631605	HD138
13	100036418	100108807	HD139
14	35357350	35868514	HD140
14	69168821	69318062	HD141
14	88288406	88642303	HD142
14	98368955	98530673	HD143
14	101290463	101328739	HD144
15	38814377	38972177	HD145
15	67414055	67469568	HD146
15	79020743	79263361	HD147
16	11017058	11307024	HD148
16	11313051	11477919	HD149
16	28295306	29027807	HD150
16	30455434	31384648	HD151
16	50692364	50847022	HD152
16	68431756	68839263	HD153
16	75202998	75521030	HD154
16	85961050	85987998	HD155
16	85988360	86024104	HD156
17	25875342	26266432	HD157
17	32502068	32679760	HD158
17	37382674	38240216	HD159
17	38718890	38878827	HD160
17	40328043	40926695	HD161
18	12738413	12924117	HD162
18	42735629	42931689	HD163
18	67480632	67569547	HD164
19	1090803	1175396	HD165
19	10396336	10628468	HD166
19	18189568	18411802	HD167
19	47151378	47306280	HD168
19	49094856	49278082	HD169
20	1497197	1689461	HD170
20	43058096	43260659	HD171
20	43972370	44076324	HD172
20	44594228	44784336	HD173
20	48407127	48662582	HD174
20	62200860	62401898	HD175
21	16698439	16843298	HD176
21	40451844	40483777	HD177
21	43810084	43887145	HD178
21	45589980	45703660	HD179
22	21712414	22022005	HD180
22	29925296	30668308	HD181
22	37537514	37562111	HD182
22	37568670	37661414	HD183
22	39655047	39774820	HD184
23	12804781	12937431	HD185
23	152823812	153048694	HD186
19	54600000	56000000	HD187
